omg,produktnamn,correctRow,utd13,utd12,utd11,utd10
201010,Europatipset,1XXX112X1XXX1,10000000,43249,1096,197
201010,Europatipset,X1XX11211X11X,5303,78,0,0
201009,Europatipset,212X12X121212,14042,415,41,14
201009,Europatipset,111XX1XX21XX1,236260,2780,142,32
201008,Europatipset,1X1XX1212X111,318423,1435,110,31
201008,Europatipset,21X2X11X12112,65069,1321,88,22
201007,Europatipset,112X1211111XX,284204,3976,251,63
201007,Europatipset,11X211X122211,3670,94,10,0
201006,Europatipset,1X1111X1XXX21,1157857,24912,1593,314
201006,Europatipset,X11X2111X2XX2,472212,7079,745,181
201005,Europatipset,21211X1122221,414,0,0,0
201005,Europatipset,1X12X1X111121,17765,176,19,0
201004,Europatipset,1X11121222211,10000000,6730,307,55
201004,Europatipset,2XX12121X2XXX,10000000,0,37788,5577
201003,Europatipset,11122222211X1,27770,505,41,13
201003,Europatipset,21X1X1112X2X2,150852,2261,191,46
201002,Europatipset,X1X11X211112X,112918,457,34,10
